drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve,suppression_rate
0.0,0.0,10.0,concave,0
0.0,1.0,10.0,concave,0
0.0,10.0,10.0,concave,1.00
0.0,11.0,10.0,concave,1.00
0.0,12.0,10.0,concave,1.00
0.0,13.0,10.0,concave,1.00
0.0,14.0,10.0,concave,1.00
0.0,15.0,10.0,concave,1.00
0.0,16.0,10.0,concave,1.00
0.0,17.0,10.0,concave,1.00
0.0,18.0,10.0,concave,1.00
0.0,19.0,10.0,concave,1.00
0.0,2.0,10.0,concave,0
0.0,20.0,10.0,concave,1.00
0.0,3.0,10.0,concave,0
0.0,4.0,10.0,concave,0
0.0,5.0,10.0,concave,1.00
0.0,6.0,10.0,concave,1.00
0.0,7.0,10.0,concave,1.00
0.0,8.0,10.0,concave,1.00
0.0,9.0,10.0,concave,1.00
0.0,0.0,10.0,convex,0
0.0,10.0,10.0,convex,0
0.0,100.0,10.0,convex,1.00
0.0,110.0,10.0,convex,1.00
0.0,120.0,10.0,convex,1.00
0.0,130.0,10.0,convex,1.00
0.0,140.0,10.0,convex,1.00
0.0,150.0,10.0,convex,1.00
0.0,160.0,10.0,convex,1.00
0.0,170.0,10.0,convex,1.00
0.0,180.0,10.0,convex,1.00
0.0,190.0,10.0,convex,1.00
0.0,20.0,10.0,convex,0
0.0,200.0,10.0,convex,1.00
0.0,30.0,10.0,convex,0
0.0,40.0,10.0,convex,0
0.0,50.0,10.0,convex,1.00
0.0,60.0,10.0,convex,1.00
0.0,70.0,10.0,convex,1.00
0.0,80.0,10.0,convex,1.00
0.0,90.0,10.0,convex,1.00
0.0,0.0,10.0,linear,0
0.0,10.0,10.0,linear,0
0.0,100.0,10.0,linear,1.00
0.0,15.0,10.0,linear,0
0.0,20.0,10.0,linear,0
0.0,25.0,10.0,linear,0
0.0,30.0,10.0,linear,1.00
0.0,35.0,10.0,linear,1.00
0.0,40.0,10.0,linear,1.00
0.0,45.0,10.0,linear,1.00
0.0,5.0,10.0,linear,0
0.0,50.0,10.0,linear,1.00
0.0,55.0,10.0,linear,1.00
0.0,60.0,10.0,linear,1.00
0.0,65.0,10.0,linear,1.00
0.0,70.0,10.0,linear,1.00
0.0,75.0,10.0,linear,1.00
0.0,80.0,10.0,linear,1.00
0.0,85.0,10.0,linear,1.00
0.0,90.0,10.0,linear,1.00
0.0,95.0,10.0,linear,1.00
